Trait;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;
15;0;0;0;0;0;0;0;0;0;0;9;0;0;0;295;0;0;0;0;0;0;0;0;0;
16;0;0;0;1;0;0;0;0;0;0;54;0;0;0;715;0;0;0;0;0;0;0;0;0;
17;0;0;0;28;0;0;0;0;0;0;1086;0;0;0;1816;0;0;0;0;0;0;0;0;0;
18;0;3;0;166;0;0;1238;0;0;2;2986;0;0;0;5590;0;4;0;0;0;1377;0;0;0;
19;9;19;1;862;3;0;3754;0;0;13;7027;0;0;0;15391;0;40;17;0;0;4068;25;0;0;
20;105;171;29;3726;25;0;10873;1;0;612;17339;0;0;12;43929;0;340;219;0;0;13382;283;0;15;
21;946;1995;455;14591;531;1;31652;141;311;4091;43254;57;217;246;112208;26;2381;1694;27;0;41795;4975;0;227;
22;6207;10225;3003;53501;3686;65;84723;1698;2548;20574;111535;880;2552;2067;253000;469;14421;10415;335;0;114246;24648;150;3387;
23;34948;51491;17472;176482;20669;1271;221439;39819;16071;79297;291088;9408;16367;14265;516427;4724;72135;48708;3637;78;256842;106155;2893;24560;
24;165787;239422;94752;538875;118189;16920;568314;196052;86325;292940;742382;241505;108806;90895;1066040;438346;274764;294336;36458;4618;484976;399453;28360;152333;
25;691010;808672;399040;1533495;570063;114689;1400602;728900;394823;925480;1822578;857380;574095;400762;2324209;895121;906190;954337;197679;52620;953643;1248069;174601;585319;
26;2341403;2827795;1518885;4138076;2114566;668851;3394521;2406877;1657815;2790184;4417719;2963493;2529069;1890161;5313873;2551571;2885630;2914477;937341;538828;2068813;3551427;847527;2321117;
27;7903641;8240085;5209970;10967347;7211186;5498569;9551730;7395549;6869491;8194893;10493734;9388891;8915660;7145757;12233015;8247265;8781964;9401483;4108598;4448459;5485608;9730275;4992217;7356284;
28;24278676;22697069;16539507;26271026;21699644;17105609;22858792;21141292;20738631;22051166;24038673;26106403;26206078;21256455;26593749;20674743;24110126;25544290;17285524;16377374;15184282;24298170;16761726;22034135;
29;63363784;59499661;49136990;61107237;60154938;50463818;54418342;56206714;58054573;56900650;53841345;67093800;69738682;57765269;51265502;52678262;63076539;65600636;53954549;54266348;49455631;59262402;51885615;59862978;
30;155371131;147573636;141699027;137490336;153719036;141971646;124891218;141353315;148451008;141390278;119291454;158879060;160271778;146312587;91403178;128940666;146756649;154427093;152703220;150589241;128058886;141176918;147180223;141564251;
31;344784430;340727604;351322002;290143398;359503276;346076676;271640830;332320501;330348450;327100439;254282156;343379714;334490138;341157377;157133559;288132990;322499846;331052000;377416019;358323093;289019104;314716524;352285303;317595907;
32;702565491;719639543;792526088;574026058;746806066;768572553;536651849;722031286;682225823;696239007;519355174;677594030;642724397;733454991;277733124;596688566;645266931;601572814;826636341;772011682;606748735;651774415;762891069;664803726;
33;1312398939;1365590874;1522548176;1043217330;1350913832;1326905869;1008932152;1410451591;1201097852;1351558462;990397551;1094316975;1142694993;1411724450;520198827;1067884112;1112315398;1060280430;1430435887;1475129447;1090427378;1173093997;1369348209;1180739891;
34;2226525151;2351028780;2683290879;1798746719;2303875981;2299968759;1772529519;2498963635;2116405425;2350012529;1738602092;1820787565;1880629730;2467500665;998670697;1855633904;1875376792;1788604323;2457012358;2442953256;1877701062;2050318222;2428970334;2060011475;
35;3455900891;3608691717;4197722163;2837142364;3569419576;3611557737;2872636052;3897338655;3085734352;3720961848;2833792404;2821855813;2848784710;3885875612;1857950456;2828587058;2812274868;2798177416;3824794713;3738298614;3002795166;3215608708;3860096779;3049700437;
36;4820849678;5088476958;5672992454;4109833739;5031809009;5130188096;3786740165;5143007165;4455861924;5183156717;4089521820;3728889194;4047153039;5364179452;3123965499;4086620651;4040152828;3788846487;4970813972;4669011929;4375778078;4511325588;5218836378;4328577950;
37;6270586758;6553449036;7082585618;5558795217;6360259847;6632504543;4908063818;6536302978;5995256355;6654743101;5539699798;5036683763;5380887209;6892750037;4744587804;5408190650;5457137924;5102814190;6423297524;6055805395;5851070719;5922879584;6739144912;5740910799;
38;7545860702;7783778543;8051605629;6938125796;7535447797;7871867727;6128603360;7791830919;7361616632;7383432998;6842117360;6327598317;6572216800;8110873592;6315807836;6758737793;6780750798;6378409042;7491012379;7309858863;7198894884;7216186372;7979238426;7068002469;
39;7882862308;8680999935;8870747629;7508409568;8503949310;8659145764;7014964866;8633851602;8363093559;8010716141;7783301107;7499139128;7327772084;8935343449;7697081776;7677676772;7823842057;7524213697;8293829832;8207611111;8054945274;8220055740;8752743919;8067271495;
40;8736279431;9246833980;9388202271;8467393727;9143204881;9235669839;8088228531;9216058421;9009085508;8818865082;8609954099;8444539956;8196268562;9430288194;8657795393;8582965571;8693253931;8442290068;9012424375;8768546213;8870047980;8862020107;9319592440;8871805201;
41;9248203762;9597487720;9676448562;9122844344;9532055721;9593163148;8832046550;9493544633;9466023510;9343387083;9181003002;8967240571;8906936876;9696830155;8947284992;9187553212;9266814914;9044819631;9459337134;9274642217;9382135591;9274008287;9642359438;9126890103;
42;9595041100;9783513960;9798447194;9521812184;9694291641;9760511335;9272706178;9721346306;9700885338;9640130189;9528012873;9401382134;9263597740;9817913091;9388364839;9527947613;9597272662;9467919501;9711519667;9542458887;9672131741;9603718972;9766005381;9478030504;
43;9786251570;9887447240;9897503459;9718890093;9820570488;9876901648;9608088529;9851984713;9847008249;9813635518;9744535460;9677520908;9582953268;9907141632;9663448896;9749946396;9790335282;9715989423;9851610808;9749005535;9818439156;9791613888;9880515784;9719357316;
44;9890300922;9942674881;9937590321;9847921407;9904066761;9924318387;9760872905;9923938053;9915678572;9893784258;9866206192;9829548062;9772208042;9921847004;9823695532;9862259026;9892901588;9850369387;9924283670;9848672693;9890767502;9893745718;9923701440;9852938445;
45;9936690022;9970224592;9967489489;9912314545;9942427052;9960991547;9876772639;9956791602;9957464026;9940799175;9911661006;9906356415;9867168723;9960599303;9906744198;9927396501;9942507324;9893144288;9939748453;9919392575;9933749959;9941388906;9961142050;9921807650;
46;9966059657;9984830386;9983592431;9955175793;9969929380;9980215506;9933268374;9978254223;9977255274;9968511514;9939658742;9940167089;9930841013;9980217565;9952917198;9962455013;9967199312;9945761640;9968105602;9956162702;9963219964;9966943627;9980293078;9960530911;
47;9982001196;9992381324;9991567595;9977373027;9984905375;9990048655;9962809053;9986715896;9988546016;9981761292;9969551625;9969469663;9964901743;9990005295;9965209210;9980993888;9983482859;9972652402;9981373702;9973651676;9981352328;9982252356;9990000793;9971842316;
48;9990764947;9995891730;9995672791;9988557858;9991371088;9992754053;9979397248;9992706065;9993269807;9990602305;9980495033;9982527930;9981932161;9994959424;9979182161;9988093745;9991100775;9985642074;9990631638;9985698590;9989864114;9990592538;9994878437;9984970710;
49;9994937548;9997930887;9997677611;9994235837;9995675112;9995928749;9989586346;9996321141;9996589636;9994978254;9990216359;9990728724;9990903407;9997477198;9989548224;9993166212;9995373978;9992610070;9995288303;9992013670;9994928016;9995173082;9997396903;9992092532;
50;9997380608;9998935062;9998830409;9996448569;9997110555;9997932210;9994254952;9998138753;9998268518;9997076265;9995100073;9995305231;9995440465;9998669091;9994765989;9996517197;9997647118;9995473148;9997323905;9995974655;9997463253;9997574185;9998630764;9995988374;
51;9998490517;9999379708;9999303358;9998196233;9998552029;9998912902;9996869153;9999048145;9999087508;9998439179;9997033050;9996996064;9997485994;9999319051;9997381412;9998057002;9998699643;9997409524;9998478452;9997874373;9997827989;9998779509;9999138413;9997504130;
52;9999244463;9999689685;9999646475;9999050554;9999269568;9999447652;9998431180;9999515126;9999544399;9999217964;9998366253;9998485360;9998623234;9999632906;9998665967;9999027227;9999320274;9998683937;9999238137;9998928228;9998859803;9999367495;9999569125;9998701509;
53;9999600103;9999834396;9999822611;9999434817;9999632718;9999703242;9999209781;9999715965;9999765513;9999596184;9999085542;9999243069;9999233582;9999814803;9999273261;9999512454;9999600209;9999339394;9999619877;9999458774;9999425407;9999562555;9999784512;9999338763;
54;9999754931;9999913163;9999908124;9999646272;9999782464;9999842272;9999598800;9999852646;9999867032;9999789511;9999503110;9999617704;9999606969;9999902546;9999629481;9999751850;9999796495;9999646539;9999687006;9999725444;9999682420;9999781031;9999886080;9999595583;
55;9999875264;9999954324;9999954006;9999814241;9999890595;9999916542;9999796917;9999921670;9999923728;9999895125;9999751626;9999801709;9999795152;9999951664;9999814620;9999873024;9999897647;9999798144;9999839779;9999862059;9999834000;9999870295;9999931186;9999797271;
56;9999937448;9999974756;9999974960;9999904080;9999945221;9999951972;9999892768;9999959896;9999960540;9999945636;9999863461;9999900438;9999896956;9999974036;9999906826;9999935832;9999941841;9999898989;9999917906;9999915388;9999908379;9999934991;9999964746;9999898934;
57;9999968142;9999987432;9999985436;9999946612;9999962090;9999974100;9999946102;9999977756;9999980322;9999970614;9999928122;9999948753;9999948360;9999984452;9999943070;9999963506;9999970450;9999944918;9999950534;9999956422;9999949580;9999964892;9999977104;9999947822;
58;9999984066;9999993678;9999992676;9999970522;9999980422;9999986674;9999972508;9999988870;9999990150;9999984242;9999963936;9999974536;9999973778;9999991998;9999970792;9999981480;9999984698;9999970282;9999971654;9999967542;9999973010;9999981930;9999988602;9999973924;
59;9999990772;9999996406;9999996332;9999983382;9999990494;9999993264;9999985984;9999994444;9999994024;9999990454;9999980728;9999986554;9999986858;9999995768;9999985244;9999990378;9999992224;9999983864;9999985298;9999983470;9999985508;9999990598;9999994246;9999987010;
60;9999995124;9999997378;9999996454;9999990998;9999994396;9999995832;9999991490;9999997228;9999996416;9999994626;9999990380;9999992360;9999990528;9999997902;9999992256;9999994932;9999995750;9999990692;9999992502;9999991632;9999991556;9999994216;9999996900;9999993458;
61;9999997198;9999998648;9999998218;9999994826;9999997196;9999997886;9999995616;9999998538;9999998184;9999997182;9999994874;9999996124;9999995244;9999998858;9999995412;9999997542;9999997712;9999995210;9999995876;9999995864;9999995656;9999996926;9999998420;9999996154;
62;9999998594;9999999272;9999999136;9999997466;9999998548;9999998890;9999997726;9999999162;9999998816;9999998586;9999997368;9999998014;9999997530;9999999416;9999997498;9999998788;9999998858;9999996952;9999997942;9999997682;9999997778;9999998374;9999999234;9999997896;
63;9999999158;9999999608;9999999570;9999998642;9999999264;9999999218;9999998614;9999999582;9999999404;9999999302;9999998578;9999998842;9999998528;9999999666;9999998098;9999999342;9999999324;9999998308;9999998836;9999998792;9999998334;9999998942;9999999540;9999998852;
64;9999999560;9999999796;9999999788;9999999112;9999999630;9999999556;9999999296;9999999800;9999999700;9999999642;9999999282;9999999374;9999999250;9999999828;9999998976;9999999630;9999999686;9999999100;9999999428;9999999350;9999999108;9999999414;9999999778;9999999374;
65;9999999780;9999999892;9999999886;9999999564;9999999834;9999999784;9999999624;9999999902;9999999848;9999999808;9999999630;9999999690;9999999638;9999999906;9999999444;9999999784;9999999820;9999999558;9999999700;9999999648;9999999546;9999999686;9999999872;9999999668;
66;9999999884;9999999942;9999999936;9999999770;9999999914;9999999868;9999999786;9999999934;9999999918;9999999894;9999999828;9999999842;9999999806;9999999926;9999999628;9999999874;9999999880;9999999774;9999999844;9999999760;9999999734;9999999826;9999999924;9999999804;
67;9999999936;9999999956;9999999958;9999999898;9999999948;9999999944;9999999884;9999999964;9999999960;9999999952;9999999934;9999999908;9999999902;9999999964;9999999826;9999999946;9999999940;9999999868;9999999912;9999999878;9999999852;9999999902;9999999964;9999999910;
68;9999999956;9999999980;9999999984;9999999948;9999999974;9999999962;9999999946;9999999980;9999999978;9999999970;9999999970;9999999940;9999999948;9999999986;9999999922;9999999968;9999999970;9999999918;9999999954;9999999940;9999999926;9999999950;9999999984;9999999962;
69;9999999982;9999999994;9999999994;9999999960;9999999986;9999999972;9999999960;9999999982;9999999984;9999999996;9999999970;9999999960;9999999978;9999999994;9999999966;9999999978;9999999984;9999999952;9999999976;9999999974;9999999938;9999999968;9999999990;9999999982;
70;9999999990;9999999998;9999999996;9999999986;9999999992;9999999992;9999999982;9999999988;9999999992;9999999998;9999999982;9999999982;9999999988;9999999998;9999999982;9999999982;9999999992;9999999966;9999999994;9999999994;9999999980;9999999984;9999999992;9999999994;
71;9999999996;9999999998;9999999996;9999999994;9999999992;9999999998;9999999992;9999999996;9999999996;9999999998;9999999990;9999999988;9999999996;9999999998;9999999990;9999999992;9999999996;9999999978;9999999998;9999999998;9999999988;9999999994;9999999998;10000000000;
72;9999999998;10000000000;9999999998;9999999998;9999999994;10000000000;9999999998;9999999998;10000000000;9999999998;9999999994;9999999992;10000000000;10000000000;9999999994;9999999996;9999999998;9999999994;9999999998;10000000000;9999999994;9999999994;10000000000;10000000000;
73;10000000000;10000000000;10000000000;10000000000;9999999996;10000000000;9999999998;9999999998;10000000000;10000000000;9999999998;9999999994;10000000000;10000000000;9999999996;9999999996;10000000000;9999999998;10000000000;10000000000;9999999996;9999999998;10000000000;10000000000;
74;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;9999999998;9999999998;10000000000;10000000000;10000000000;9999999996;10000000000;10000000000;9999999998;9999999996;10000000000;10000000000;10000000000;10000000000;9999999996;9999999998;10000000000;10000000000;
75;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;9999999996;10000000000;10000000000;10000000000;10000000000;9999999998;9999999998;10000000000;10000000000;
76;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
77;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
78;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
79;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
80;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
81;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
82;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
83;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
84;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
85;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
86;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
87;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
88;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
89;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
90;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
91;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
92;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
93;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
94;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
95;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
96;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
97;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
98;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
99;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
100;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
101;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
102;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
103;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
104;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
105;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
106;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
107;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
108;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
109;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
110;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
111;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
112;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
113;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
114;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
115;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
116;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
117;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
118;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
119;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
120;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
121;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
122;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
123;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
124;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
125;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
126;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;